District,Zone,Geographical Region,Development Region,Grade ,Boys/Girls ,Numbers
Banke,Bheri,Terai,Mid-Western,Grade 6-8,Girls,15385
Banke,Bheri,Terai,Mid-Western,Grade 6-8,Boys,15682
Bara,Narayani,Terai,Central,Grade 6,Girls,6220
Bara,Narayani,Terai,Central,Grade 6,Boys,6352
Bara,Narayani,Terai,Central,Grade 7,Girls,5668
Bara,Narayani,Terai,Central,Grade 7,Boys,6088
Bara,Narayani,Terai,Central,Grade 8,Girls,5077
Bara,Narayani,Terai,Central,Grade 8,Boys,5666
Bara,Narayani,Terai,Central,Grade 6-8,Girls,16965
Bara,Narayani,Terai,Central,Grade 6-8,Boys,18106
Bardiya,Bheri,Terai,Mid-Western,Grade 6,Girls,7113
Bardiya,Bheri,Terai,Mid-Western,Grade 6,Boys,6600
Bardiya,Bheri,Terai,Mid-Western,Grade 7,Girls,6630
Bardiya,Bheri,Terai,Mid-Western,Grade 7,Boys,5577
Bardiya,Bheri,Terai,Mid-Western,Grade 8,Girls,6903
Bardiya,Bheri,Terai,Mid-Western,Grade 8,Boys,5809
Bardiya,Bheri,Terai,Mid-Western,Grade 6-8,Girls,20646
Bardiya,Bheri,Terai,Mid-Western,Grade 6-8,Boys,17986
Bhaktapur,Bagmati,Hill,Central,Grade 6,Girls,2790
Bhaktapur,Bagmati,Hill,Central,Grade 6,Boys,3108
Bhaktapur,Bagmati,Hill,Central,Grade 7,Girls,2955
Bhaktapur,Bagmati,Hill,Central,Grade 7,Boys,3127
Bhaktapur,Bagmati,Hill,Central,Grade 8,Girls,3041
Bhaktapur,Bagmati,Hill,Central,Grade 8,Boys,3395
Bhaktapur,Bagmati,Hill,Central,Grade 6-8,Girls,8786
Bhaktapur,Bagmati,Hill,Central,Grade 6-8,Boys,9630
Bhojpur,Kosi,Hill,Eastern,Grade 6,Girls,2812
Bhojpur,Kosi,Hill,Eastern,Grade 6,Boys,2657
Bhojpur,Kosi,Hill,Eastern,Grade 7,Girls,2591
Bhojpur,Kosi,Hill,Eastern,Grade 7,Boys,2465
Bhojpur,Kosi,Hill,Eastern,Grade 8,Girls,2708
Bhojpur,Kosi,Hill,Eastern,Grade 8,Boys,2315
Bhojpur,Kosi,Hill,Eastern,Grade 6-8,Girls,8111
Bhojpur,Kosi,Hill,Eastern,Grade 6-8,Boys,7437
Chitawan,Narayani,Terai,Central,Grade 6,Girls,7484
Chitawan,Narayani,Terai,Central,Grade 6,Boys,7589
Chitawan,Narayani,Terai,Central,Grade 7,Girls,7031
Chitawan,Narayani,Terai,Central,Grade 7,Boys,6797
Chitawan,Narayani,Terai,Central,Grade 8,Girls,7104
Chitawan,Narayani,Terai,Central,Grade 8,Boys,6792
Chitawan,Narayani,Terai,Central,Grade 6-8,Girls,21619
Chitawan,Narayani,Terai,Central,Grade 6-8,Boys,21178
Dadeldhura,Mahakali,Hill,Far-Western,Grade 6,Girls,2640
Dadeldhura,Mahakali,Hill,Far-Western,Grade 6,Boys,2392
Dadeldhura,Mahakali,Hill,Far-Western,Grade 7,Girls,2141
Dadeldhura,Mahakali,Hill,Far-Western,Grade 7,Boys,2027
Dadeldhura,Mahakali,Hill,Far-Western,Grade 8,Girls,2003
