District,Zone,Geographical Region,Development Region,Year BS,Year AD,Grade Category,Grade,Gender,Ethnicity,Number of students
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary total enrollment,Grade 6,Total,Others,5316
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary total enrollment,Grade 7,Girls,Others,1998
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary total enrollment,Grade 7,Boys,Others,2477
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary total enrollment,Grade 7,Total,Others,4475
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary total enrollment,Grade 8,Girls,Others,1923
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary total enrollment,Grade 8,Boys,Others,2610
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary total enrollment,Grade 8,Total,Others,4533
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary total enrollment,Grade 9,Girls,Others,1626
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary total enrollment,Grade 9,Boys,Others,2151
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary total enrollment,Grade 9,Total,Others,3777
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary total enrollment,Grade 10,Girls,Others,1242
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary total enrollment,Grade 10,Boys,Others,1645
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary total enrollment,Grade 10,Total,Others,2887
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 6,Girls,Dalit,402
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 6,Boys,Dalit,568
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 6,Total,Dalit,970
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 7,Girls,Dalit,256
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 7,Boys,Dalit,392
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 7,Total,Dalit,648
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 8,Girls,Dalit,177
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 8,Boys,Dalit,334
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 8,Total,Dalit,511
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 9,Girls,Dalit,108
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 9,Boys,Dalit,198
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 9,Total,Dalit,306
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 10,Girls,Dalit,75
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 10,Boys,Dalit,141
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary dalit enrollment,Grade 10,Total,Dalit,216
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 6,Girls,Janjati,355
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 6,Boys,Janjati,368
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 6,Total,Janjati,723
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 7,Girls,Janjati,274
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 7,Boys,Janjati,269
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 7,Total,Janjati,543
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 8,Girls,Janjati,238
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 8,Boys,Janjati,329
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 8,Total,Janjati,567
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 9,Girls,Janjati,164
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 9,Boys,Janjati,219
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 9,Total,Janjati,383
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 10,Girls,Janjati,164
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 10,Boys,Janjati,210
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Lower Secondary & Secondary Janjati enrollment,Grade 10,Total,Janjati,374
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary Total,Grade 11,Girls,Others,872
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary Total,Grade 11,Boys,Others,1229
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary Total,Grade 11,Total,Others,2101
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary Total,Grade 12,Girls,Others,352
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary Total,Grade 12,Boys,Others,486
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary Total,Grade 12,Total,Others,838
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary  Dalit,Grade 11,Girls,Dalit,50
