District,Year,Number of Schools
Kapilbastu,2011,511
Kapilbastu,2007,350
Jumla,2008,146
Jumla,2009,152
Jumla,2010,153
Jumla,2011,155
Jumla,2007,137
Kaski,2008,630
Kaski,2009,638
Kaski,2010,638
Kaski,2011,645
Kaski,2007,625
Bajura,2008,230
Bajura,2009,233
Bajura,2010,262
Bajura,2011,262
Bajura,2007,213
Dhanusha,2008,428
Dhanusha,2009,375
Dhanusha,2010,375
Dhanusha,2011,397
Dhanusha,2007,424
Kanchanpur,2008,368
Kanchanpur,2009,409
Kanchanpur,2010,409
Kanchanpur,2011,430
Kanchanpur,2007,334
Palpa,2008,481
Palpa,2009,487
Palpa,2010,494
Palpa,2011,496
Palpa,2007,477
Dailekh,2008,421
Dailekh,2009,461
Dailekh,2010,508
Dailekh,2011,508
Dailekh,2007,399
Sankhuwasabha,2008,387
Sankhuwasabha,2009,404
Sankhuwasabha,2010,411
Sankhuwasabha,2011,414
Sankhuwasabha,2007,364
Tanahu,2008,621
Tanahu,2009,644
Tanahu,2010,645
Tanahu,2011,650
Tanahu,2007,608
Rupandehi,2008,481
Rupandehi,2009,555
Rupandehi,2010,555
Rupandehi,2011,597
Rupandehi,2007,481
Surkhet,2008,543
Surkhet,2009,581
Surkhet,2010,581
Surkhet,2011,581
Surkhet,2007,503
Mahottari,2008,326
Mahottari,2009,337
Mahottari,2010,337
Mahottari,2011,415
Mahottari,2007,274
Bhojpur,2008,386
Bhojpur,2009,399
Bhojpur,2010,404
Bhojpur,2011,404
Bhojpur,2007,378
Kailali,2008,585
Kailali,2009,583
Kailali,2010,605
Kailali,2011,605
Kailali,2007,568
Makwanpur,2008,582
Makwanpur,2009,590
Makwanpur,2010,595
Makwanpur,2011,597
Makwanpur,2007,512
Siraha,2008,428
Siraha,2009,412
Siraha,2010,469
Siraha,2011,469
Siraha,2007,411
Salyan,2008,382
Salyan,2009,385
Salyan,2010,396
Salyan,2011,454
Salyan,2007,366
Parsa,2008,399
Parsa,2009,387
Parsa,2010,392
Parsa,2011,392
Parsa,2007,319
Lalitpur,2008,477
Lalitpur,2009,488
Lalitpur,2010,488
Lalitpur,2011,488
Lalitpur,2007,477
Morang,2008,712
Morang,2009,707
Morang,2010,707
Morang,2011,707
Morang,2007,663
Sarlahi,2008,333
Sarlahi,2009,448
Sarlahi,2010,448
Sarlahi,2011,745
Sarlahi,2007,333
Mustang,2008,69
Mustang,2009,70
Mustang,2010,70
Mustang,2011,70
Mustang,2007,67
Dang,2008,480
Dang,2009,514
Dang,2010,514
Dang,2011,512
Dang,2007,459
Baglung,2008,546
Baglung,2009,559
Baglung,2010,594
Baglung,2011,594
Baglung,2007,517
Syangja,2008,623
Syangja,2009,631
Syangja,2010,631
Syangja,2011,637
Syangja,2007,574
