District,Zone,Geographical Region,Development Region,Grade ,Girls/Boys,Number
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade 11-12,Girls,1141
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade 11-12,Boys,992
Sunsari,Kosi,Terai,Eastern,Grade 11,Girls,1839
Sunsari,Kosi,Terai,Eastern,Grade 11,Boys,1728
Sunsari,Kosi,Terai,Eastern,Grade 12,Girls,2688
Sunsari,Kosi,Terai,Eastern,Grade 12,Boys,2103
Sunsari,Kosi,Terai,Eastern,Grade 11-12,Girls,4527
Sunsari,Kosi,Terai,Eastern,Grade 11-12,Boys,3831
Surkhet,Bheri,Hill,Mid-Western,Grade 11,Girls,1627
Surkhet,Bheri,Hill,Mid-Western,Grade 11,Boys,2153
Surkhet,Bheri,Hill,Mid-Western,Grade 12,Girls,1817
Surkhet,Bheri,Hill,Mid-Western,Grade 12,Boys,2032
Surkhet,Bheri,Hill,Mid-Western,Grade 11-12,Girls,3444
Surkhet,Bheri,Hill,Mid-Western,Grade 11-12,Boys,4185
Syangja,Gandaki,Hill,Western,Grade 11,Girls,2242
Syangja,Gandaki,Hill,Western,Grade 11,Boys,2024
Syangja,Gandaki,Hill,Western,Grade 12,Girls,2485
Syangja,Gandaki,Hill,Western,Grade 12,Boys,1964
Syangja,Gandaki,Hill,Western,Grade 11-12,Girls,4727
Syangja,Gandaki,Hill,Western,Grade 11-12,Boys,3988
Tanahu,Gandaki,Hill,Western,Grade 11,Girls,1813
Tanahu,Gandaki,Hill,Western,Grade 11,Boys,1436
Tanahu,Gandaki,Hill,Western,Grade 12,Girls,1553
Tanahu,Gandaki,Hill,Western,Grade 12,Boys,1118
Tanahu,Gandaki,Hill,Western,Grade 11-12,Girls,3366
Tanahu,Gandaki,Hill,Western,Grade 11-12,Boys,2554
Taplejung,Mechi,Mountain,Eastern,Grade 11,Girls,928
Taplejung,Mechi,Mountain,Eastern,Grade 11,Boys,696
Taplejung,Mechi,Mountain,Eastern,Grade 12,Girls,789
Taplejung,Mechi,Mountain,Eastern,Grade 12,Boys,624
Taplejung,Mechi,Mountain,Eastern,Grade 11-12,Girls,1717
Taplejung,Mechi,Mountain,Eastern,Grade 11-12,Boys,1320
Terhathum,Kosi,Hill,Eastern,Grade 11,Girls,689
Terhathum,Kosi,Hill,Eastern,Grade 11,Boys,535
Terhathum,Kosi,Hill,Eastern,Grade 12,Girls,663
Terhathum,Kosi,Hill,Eastern,Grade 12,Boys,493
Terhathum,Kosi,Hill,Eastern,Grade 11-12,Girls,1352
Terhathum,Kosi,Hill,Eastern,Grade 11-12,Boys,1028
Udayapur,Sagarmatha,Hill,Eastern,Grade 11,Girls,1472
Udayapur,Sagarmatha,Hill,Eastern,Grade 11,Boys,1174
Udayapur,Sagarmatha,Hill,Eastern,Grade 12,Girls,1402
Udayapur,Sagarmatha,Hill,Eastern,Grade 12,Boys,1061
Udayapur,Sagarmatha,Hill,Eastern,Grade 11-12,Girls,2874
Udayapur,Sagarmatha,Hill,Eastern,Grade 11-12,Boys,2235
