District,Year,Total,Male,Female
Ilam,2009,3054,2197,857
Ilam,2010,3421,2331,1090
Ilam,2011,3482,2388,1094
Ilam,2007,2601,1909,692
Saptari,2008,2292,1873,419
Saptari,2009,2295,1873,422
Saptari,2010,2570,1855,715
Saptari,2011,2847,1993,854
Saptari,2007,660,559,101
Rolpa,2008,1571,1198,373
Rolpa,2009,1805,1377,428
Rolpa,2010,2157,1590,567
Rolpa,2011,2248,1642,606
Rolpa,2007,1471,1145,326
Pyuthan,2008,1713,1201,512
Pyuthan,2009,2073,1428,645
Pyuthan,2010,2031,1353,678
Pyuthan,2011,2381,1571,810
Pyuthan,2007,1523,1117,406
Solukhumbu,2008,1228,917,311
Solukhumbu,2009,1228,917,311
Solukhumbu,2010,1557,1021,536
Solukhumbu,2011,1557,1021,536
Solukhumbu,2007,1306,979,327
Sunsari,2008,4216,2778,1438
Sunsari,2009,4221,2778,1443
Sunsari,2010,4527,2873,1654
Sunsari,2011,4832,3113,1719
Sunsari,2007,4116,2808,1308
Myagdi,2008,1252,827,425
Myagdi,2009,1252,827,425
Myagdi,2010,1562,985,577
Myagdi,2011,1570,989,581
Myagdi,2007,1382,932,450
Rasuwa,2008,540,426,114
Rasuwa,2009,598,460,138
Rasuwa,2010,607,457,150
Rasuwa,2011,679,469,210
Rasuwa,2007,506,413,93
Kalikot,2008,986,776,210
Kalikot,2009,1272,1030,242
Kalikot,2010,1885,1488,397
Kalikot,2011,1885,1488,397
Kalikot,2007,899,734,165
Parbat,2008,2287,1666,621
Parbat,2009,2351,1666,685
Parbat,2010,2702,1835,867
Parbat,2011,2702,1834,868
Parbat,2007,2131,1579,552
Gulmi,2008,3246,2271,975
Gulmi,2009,3863,2484,1379
Gulmi,2010,4040,2566,1474
Gulmi,2011,4238,2632,1606
Gulmi,2007,2497,1770,727
Lamjung,2008,2656,1751,905
Lamjung,2009,2731,1771,960
Lamjung,2010,3074,1937,1137
Lamjung,2011,3160,1982,1178
Lamjung,2007,2361,1633,728
Doti,2008,1738,1375,363
Doti,2009,2185,1721,464
Doti,2010,2511,1875,636
Doti,2011,2511,1875,636
Doti,2007,1625,1335,290
Okhaldhunga,2008,1509,1037,472
Okhaldhunga,2009,1719,1148,571
Okhaldhunga,2010,2114,1361,753
Okhaldhunga,2011,2206,1411,795
Okhaldhunga,2007,1527,1092,435
Achham,2008,2281,1881,400
Achham,2009,2283,1881,402
Achham,2010,3295,2520,775
Achham,2011,3295,2520,775
Achham,2007,1754,1492,262
Dolakha,2008,2342,1718,624
Dolakha,2009,2405,1781,624
Dolakha,2010,2740,1874,866
Dolakha,2011,2962,2031,931
Dolakha,2007,2030,1505,525
Rukum,2008,1377,1149,228
Rukum,2009,1377,1149,228
Rukum,2010,1540,1064,476
Rukum,2011,1596,1120,476
Rukum,2007,161,137,24
Dhading,2008,3462,2430,1032
Dhading,2009,3727,2446,1281
Dhading,2010,3985,2463,1522
Dhading,2011,4381,2675,1706
Dhading,2007,1078,760,318
Kaski,2008,6308,3872,2436
Kaski,2009,6469,3872,2597
Kaski,2010,7068,4062,3006
Kaski,2011,7476,4198,3278
Kaski,2007,6387,3890,2497
Humla,2008,459,382,77
Humla,2009,461,382,79
Humla,2010,617,515,102
Humla,2011,622,515,107
