District,Zone,Geographical Region,Development Region,Sub Group,Number
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade 9 Boys,1063
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade 10 Girls,871
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade 10 Boys,851
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade 9-10 Girls,2071
Solukhumbu,Sagarmatha,Mountain,Eastern,Grade 9-10 Boys,1914
Sunsari,Kosi,Terai,Eastern,Grade 9 Girls,6620
Sunsari,Kosi,Terai,Eastern,Grade 9 Boys,6468
Sunsari,Kosi,Terai,Eastern,Grade 10 Girls,5736
Sunsari,Kosi,Terai,Eastern,Grade 10 Boys,5538
Sunsari,Kosi,Terai,Eastern,Grade 9-10 Girls,12356
Sunsari,Kosi,Terai,Eastern,Grade 9-10 Boys,12006
Surkhet,Bheri,Hill,Mid-Western,Grade 9 Girls,3770
Surkhet,Bheri,Hill,Mid-Western,Grade 9 Boys,3485
Surkhet,Bheri,Hill,Mid-Western,Grade 10 Girls,3151
Surkhet,Bheri,Hill,Mid-Western,Grade 10 Boys,3151
Surkhet,Bheri,Hill,Mid-Western,Grade 9-10 Girls,6921
Surkhet,Bheri,Hill,Mid-Western,Grade 9-10 Boys,6636
Syangja,Gandaki,Hill,Western,Grade 9 Girls,3740
Syangja,Gandaki,Hill,Western,Grade 9 Boys,3553
Syangja,Gandaki,Hill,Western,Grade 10 Girls,3533
Syangja,Gandaki,Hill,Western,Grade 10 Boys,3268
Syangja,Gandaki,Hill,Western,Grade 9-10 Girls,7273
Syangja,Gandaki,Hill,Western,Grade 9-10 Boys,6821
Tanahu,Gandaki,Hill,Western,Grade 9 Girls,3896
Tanahu,Gandaki,Hill,Western,Grade 9 Boys,3586
Tanahu,Gandaki,Hill,Western,Grade 10 Girls,2960
Tanahu,Gandaki,Hill,Western,Grade 10 Boys,2903
Tanahu,Gandaki,Hill,Western,Grade 9-10 Girls,6856
Tanahu,Gandaki,Hill,Western,Grade 9-10 Boys,6489
Taplejung,Mechi,Mountain,Eastern,Grade 9 Girls,1670
Taplejung,Mechi,Mountain,Eastern,Grade 9 Boys,1301
Taplejung,Mechi,Mountain,Eastern,Grade 10 Girls,1352
Taplejung,Mechi,Mountain,Eastern,Grade 10 Boys,1266
Taplejung,Mechi,Mountain,Eastern,Grade 9-10 Girls,3022
Taplejung,Mechi,Mountain,Eastern,Grade 9-10 Boys,2567
Terhathum,Kosi,Hill,Eastern,Grade 9 Girls,1342
Terhathum,Kosi,Hill,Eastern,Grade 9 Boys,1187
Terhathum,Kosi,Hill,Eastern,Grade 10 Girls,1105
Terhathum,Kosi,Hill,Eastern,Grade 10 Boys,995
Terhathum,Kosi,Hill,Eastern,Grade 9-10 Girls,2447
Terhathum,Kosi,Hill,Eastern,Grade 9-10 Boys,2182
Udayapur,Sagarmatha,Hill,Eastern,Grade 9 Girls,4294
Udayapur,Sagarmatha,Hill,Eastern,Grade 9 Boys,3560
Udayapur,Sagarmatha,Hill,Eastern,Grade 10 Girls,3397
Udayapur,Sagarmatha,Hill,Eastern,Grade 10 Boys,2657
Udayapur,Sagarmatha,Hill,Eastern,Grade 9-10 Girls,7691
Udayapur,Sagarmatha,Hill,Eastern,Grade 9-10 Boys,6217
