District,Year,Total,Male,Female
Doti,2010,71123,36693,34430
Doti,2011,66814,33579,33235
Doti,2007,59990,32160,27831
Okhaldhunga,2008,50714,25525,25189
Okhaldhunga,2009,53481,26698,26783
Okhaldhunga,2010,56799,27919,28880
Okhaldhunga,2011,52513,25376,27137
Okhaldhunga,2007,49258,25214,24044
Achham,2008,89349,48729,40620
Achham,2009,57970,30426,27544
Achham,2010,107569,55277,52292
Achham,2011,102268,52112,50156
Achham,2007,79461,44361,35100
Dolakha,2008,64242,31848,32394
Dolakha,2009,68207,33381,34826
Dolakha,2010,70761,34217,36544
Dolakha,2011,64464,30780,33684
Dolakha,2007,61770,30967,30803
Rukum,2008,73883,37989,35894
Rukum,2009,79632,39607,40025
Rukum,2010,88806,44337,44469
Rukum,2011,95701,46663,49038
Rukum,2007,57510,30205,27305
Dhading,2008,107383,52503,54880
Dhading,2009,108848,52964,55884
Dhading,2010,109756,53135,56621
Dhading,2011,107266,51463,55803
Dhading,2007,103093,51342,51751
Kaski,2008,125824,63660,62164
Kaski,2009,128266,64834,63432
Kaski,2010,125988,63857,62131
Kaski,2011,119486,60990,58496
Kaski,2007,125694,63759,61935
Humla,2008,13389,7331,6058
Humla,2009,14609,8031,6578
Humla,2010,17041,9065,7976
Humla,2011,16424,8470,7954
Humla,2007,11372,6489,4884
Bhaktapur,2008,62604,31808,30796
Bhaktapur,2009,64780,32586,32194
Bhaktapur,2010,64933,32825,32108
Bhaktapur,2011,63964,32218,31746
Bhaktapur,2007,53700,26949,26751
Sindhuli,2008,108072,55529,52543
Sindhuli,2009,120794,60897,59897
Sindhuli,2010,122959,61521,61438
Sindhuli,2011,116999,57536,59463
Sindhuli,2007,87114,45450,41664
Jhapa,2008,202082,100610,101472
Jhapa,2009,198620,98044,100576
Jhapa,2010,201494,100023,101471
Jhapa,2011,187160,92340,94820
Jhapa,2007,196366,98805,97561
Dhankuta,2008,52130,25788,26342
Dhankuta,2009,52754,26012,26742
Dhankuta,2010,51972,25463,26509
Dhankuta,2011,47937,23423,24514
Dhankuta,2007,50583,25090,25493
Manang,2008,885,424,461
Manang,2009,925,443,482
Manang,2010,897,404,493
Manang,2011,901,419,482
Manang,2007,1006,479,528
Bardiya,2008,127565,63689,63876
Bardiya,2009,130801,64374,66427
Bardiya,2010,132733,65204,67529
Bardiya,2011,127132,61560,65572
Bardiya,2007,123773,62474,61299
Nuwakot,2008,85238,41469,43769
Nuwakot,2009,86697,42077,44620
Nuwakot,2010,75268,35685,39583
Nuwakot,2011,83975,40036,43939
Nuwakot,2007,85017,41504,43514
Ramechhap,2008,76221,37135,39086
Ramechhap,2009,81778,39600,42178
Ramechhap,2010,84768,41081,43687
Ramechhap,2011,74225,35504,38721
Ramechhap,2007,72255,35297,36958
Terhathum,2008,40926,20022,20904
Terhathum,2009,41886,20348,21538
Terhathum,2010,43585,20934,22651
Terhathum,2011,41773,20090,21683
Terhathum,2007,40550,19935,20616
Rautahat,2008,133628,75182,58446
Rautahat,2009,105261,58804,46457
Rautahat,2010,175391,95814,79577
Rautahat,2011,198028,106323,91705
Rautahat,2007,108000,62614,45386
Kapilbastu,2008,130175,70365,59810
Kapilbastu,2009,126868,67068,59800
Kapilbastu,2010,147300,77210,70090
Kapilbastu,2011,151428,78662,72766
Kapilbastu,2007,105729,58688,47041
Jumla,2008,30264,16624,13640
Jumla,2009,35710,18313,17397
Jumla,2010,34139,17320,16819
Jumla,2011,34336,17132,17204
Jumla,2007,22934,13021,9914
Bara,2008,144475,77226,67249
Bara,2009,169334,89919,79415
Bara,2010,192118,101890,90228
Bara,2011,170268,88104,82164
Bara,2007,116738,66141,50596
Bajura,2008,41067,22382,18685
Bajura,2009,44447,23530,20917
Bajura,2010,49656,26137,23519
Bajura,2011,51324,26050,25274
Bajura,2007,34176,19238,14938
Dhanusha,2008,145047,77476,67571
Dhanusha,2009,154836,81516,73320
Dhanusha,2010,152356,77713,74643
Dhanusha,2011,160699,80759,79940
Dhanusha,2007,145611,80153,65458
Kanchanpur,2008,111748,55659,56089
Kanchanpur,2009,124629,61743,62886
Kanchanpur,2010,135266,65721,69545
Kanchanpur,2011,110864,53004,57860
Kanchanpur,2007,105273,53602,51671
Palpa,2008,92812,46184,46628
Palpa,2009,93864,46783,47081
Palpa,2010,91788,45646,46142
Palpa,2011,82346,40988,41358
Palpa,2007,93606,47104,46502
Dailekh,2008,94000,48176,45824
Dailekh,2009,106253,53135,53118
Dailekh,2010,104106,51809,52297
Dailekh,2011,101191,50672,50519
Dailekh,2007,78057,40602,37454
Sankhuwasabha,2008,52350,26414,25936
Sankhuwasabha,2009,54801,27277,27524
Sankhuwasabha,2010,55379,27516,27863
Sankhuwasabha,2011,51285,25284,26001
Sankhuwasabha,2007,50173,25530,24643
Tanahu,2008,95670,47649,48021
Tanahu,2009,96007,47008,48999
Tanahu,2010,97306,47968,49338
Tanahu,2011,94631,46550,48081
Tanahu,2007,97604,48716,48888
Nawalparasi,2008,172013,86447,85566
Nawalparasi,2009,189945,95292,94653
Nawalparasi,2010,191179,94777,96402
Nawalparasi,2011,184757,91525,93232
Nawalparasi,2007,170318,86403,83915
Surkhet,2008,111011,55603,55408
Surkhet,2009,117821,59156,58665
Surkhet,2010,118287,58532,59755
Surkhet,2011,127824,64425,63399
Surkhet,2007,103056,51955,51102
Mahottari,2008,127927,70638,57289
Mahottari,2009,129195,68698,60497
Mahottari,2010,145411,76271,69140
Mahottari,2011,167548,85981,81567
Mahottari,2007,107934,61428,46506
Bhojpur,2008,62749,31364,31385
Bhojpur,2009,64795,32292,32503
Bhojpur,2010,63345,31222,32123
Bhojpur,2011,60638,29762,30876
Bhojpur,2007,62901,31637,31264
Kailali,2008,199817,100299,99518
Kailali,2009,205788,100295,105493
Kailali,2010,213965,103067,110898
Kailali,2011,206742,97196,109546
Kailali,2007,195501,100610,94892
Makwanpur,2008,134528,66107,68421
Makwanpur,2009,138826,68486,70340
Makwanpur,2010,132814,65195,67619
Makwanpur,2011,124766,61059,63707
Makwanpur,2007,123028,59731,63297
Siraha,2008,141831,74960,66871
Siraha,2009,139323,71357,67966
Siraha,2010,157435,79052,78383
Siraha,2011,154837,76326,78511
Siraha,2007,127873,69890,57983
Salyan,2008,82275,41135,41140
Salyan,2009,85797,41631,44166
Salyan,2010,79890,38716,41174
Salyan,2011,89897,42893,47004
Salyan,2007,77746,39972,37774
